id,source,text,MGT
train_isizulu_01446,AfriHate,iyatholakala imfene chief? ##url,True
train_isizulu_02427,AfriHate,"ngizoku bhebha weza la ""@username : nam ngcela ukuya epta☹..",True
train_isizulu_00320,AfriHate,@username si wrong lesthombe alikho ibhunu elingaba lihle kanje ngo 1652.,True
train_isizulu_00509,AfriHate,"co""@username : 😍😍😍😍 uzobhebheka!!!""@username : ##url",True
train_isizulu_01684,AfriHate,"@username registered, asikwazi okwa nonisa ingulube.",True
train_isizulu_02460,AfriHate,@username serious akuve nixakile nina mazulu nokungafundi olunye ulwimi 😒,True
train_isizulu_00731,AfriHate,ukhuluma isende ke wena manje ##url,True
train_isizulu_01778,AfriHate,"udungane kandaba, ubhejane phumesqiwini kade bekuvalele, izinyane lengezengeze, unodunga kamenzi.....bayede zulu eliphezulu...hhawuuu abakuyeke nyoni yezwe angeke bakwenze lutho mageba..bayokhala baythulise sithuli sika ndaba!!!...bayede..wena we ndlovu...zule'phezulu ##url",True
train_isizulu_00289,AfriHate,"""@username : khathele abelungu. khathele amadoda. ngikhathele!!!!"" *hugs*",True
dev_isizulu_00100,AfriHate,@username 😂😂bhebha ninga bhebhi ingane yabantu,True
train_isizulu_01381,AfriHate,"another hit after ""mshove"" manje sithi ""mkhuze uzobhebheka"" 🔥🔥🔥🕺🕺🕺 ##url",True
test_isizulu_00242,AfriHate,bhebha uthule ...,True
test_isizulu_00273,AfriHate,ulale nawe uneke amasende ukhululeke. aneva! 😂😂 ##url,True
train_isizulu_00770,AfriHate,"lol yo @username ""@username : @username ukhohlwe ukutagger ibhunu""",True
dev_isizulu_00195,AfriHate,ilento yakho yokuthanda ama model c ##url,True
train_isizulu_02334,AfriHate,kujuluka isende namuhla.,True
test_isizulu_00547,AfriHate,"ungabuzi okuningi. bhebha nje “@username : boghel, ngicela ukubuza. yini le enenza nilahle kangaka on nye??? hahahahha”",True
train_isizulu_00239,AfriHate,ubani lo mlungu ono pharrell???#globalcitizensfestival,True
dev_isizulu_00392,AfriHate,@username cha uma isadlala ngamashangane khohlwa njenge sdomu esikoleni!!!!,True
dev_isizulu_00178,AfriHate,unescefe wenja 😂😂😂😂😂😂😂 ##url,True
train_isizulu_02388,AfriHate,@username okova were a problem nase mlazi worse enkandla amabhunu ayfuna ukqeda impande zeanc kazulu salwa ngoqwasha bona benikwe ibhamu,True
train_isizulu_02820,AfriHate,@username lol ile nyoni eyabhala amasimba ngami cabanga. ikhofi lisebenzile.,True
dev_isizulu_00288,AfriHate,"le ngamla izifakele iskibha esincane 😂😂, if it was friday ngabe ufake iskhindi.",True
test_isizulu_00141,AfriHate,unosipho uzobhebheka yaz',True
train_isizulu_01724,AfriHate,seniyi lungisile inkinga ebini nayo no mlungu? @username ukhona yini #umlungu  lapho @username . #omunyemusicvideo 😁😁😁 ##url,True
train_isizulu_02951,AfriHate,"le kanyoko, hayi um’tasekhaya kodwa 🙅🏽‍♂️! ##url",True
train_isizulu_02609,AfriHate,#uthandonesthembu bhebha musa mseleku bhebha!! 😂😂 ubabhebhe bonke uma uthanda 😂😂 ##url,True
test_isizulu_00169,AfriHate,@username mdala makuya i'm 45 mina igolo liyakhothwa nje ngasabi.,True
train_isizulu_03043,AfriHate,then thina mazulu senzenjani ngoba angi understand 😥 ##url,True
dev_isizulu_00197,AfriHate,lesdudla esiwu @username besisazonyakaza............nawe ke lapho nyakaza sdudla @ virgin… ##url,True
train_isizulu_01682,AfriHate,"@username “ex yakho inebhadi,slima ngepela”🤦🏽‍♂️😔",True
train_isizulu_01581,AfriHate,"@username sizwe slima senkosi, asibhedelwa.... pheykwabo.",True
train_isizulu_01497,AfriHate,@username leya ngamla hlula abo britney spears mfethu 😂🙄,True
train_isizulu_00926,AfriHate,@username 🕛&lt;&lt;#zidlumnjonjo&gt;&gt;🕒 heshe ntshebe ngicela ukuthi #njonji ku ✔️ skhindi mjoli ✔️ cosmocity vilakazi ✔️ tsepe sitshulu mkhulusi ✔️ nozzy nkosi edumbe ✔️ thandeka tdk mbuyisa ✔️ ! @username ,True
train_isizulu_01333,AfriHate,kudlaliwe ngoo ngamla 😂😂😂😭😭🤔 ##url,True
train_isizulu_03080,AfriHate,umaskandi ne mfene yini kangaka kqale kwathiwa malini imfene kshuthi uzostshela inani ke u bahubhe ngoba uyaydayisa.  nomunye wadelelwa kwathiwa mawfuna imfene edayisayo wozoylanda ibiza usheleni.🤣🤣🤣🤣🤣 inkulu indaba ne mfene  🤞🤔 ##url,True
train_isizulu_00401,AfriHate,"@username wo! manje ushade isilungu,  baphana ngapha nangapha.....kahleni mazulu",True
train_isizulu_00992,AfriHate,umngani way'ngane uqebhuqebhu intombizimfuna ebaleni  maqhikiza amyengela ophathe ugibela iminqwani ngegala kukhuze uyise phesheya komfula  umahleka ehlathini njengohlanya uhlanya olusemehlwen abantu  inkomo edla yodwa mayidla nezinye ziyayiphangela ##url,True
test_isizulu_00609,AfriHate,"@username 😳 yho, inamandla nantsi imomozi",True
dev_isizulu_00384,AfriHate,inkomo 🐮 yengisi ##url,True
test_isizulu_00008,AfriHate,@username lmao hawu lomuntu lol uzobhebheka yazi,True
train_isizulu_01571,AfriHate,@username awu dude asbonge kuleyo ndawo.  awungphoxe phela sdomu ungaphenduli 🤣🤣🤣 ##url,True
