id,source,text,MGT
train_isizulu_01825,AfriHate,@username smart mampara #turnupyangempela @username ,0
test_isizulu_00192,AfriHate,sekuphethe nina la mazulu ngyabona ##url,0
train_isizulu_00010,AfriHate,iphi le nyoni yakho? ##url,0
train_isizulu_01428,AfriHate,ngendla uonke athanda ukucebana ngayo uze akhohlwe aze azicebe kwayena....slima les',0
test_isizulu_00591,AfriHate,isqophamithi igama lale nyoni.. nifunde kakhulu dean ##url,0
dev_isizulu_00254,AfriHate,and sadly abantu bakithi abakhweza abelungu emakhanda ethu belwela iphalishi ##url,0
dev_isizulu_00479,AfriHate,yahlupha le nyoni 😂😂😂 ##url,0
train_isizulu_01354,AfriHate,"@username ai mina isithakazelo sakathusi ""mfene"" it give me that impression nje yokuthi hlampe bayayisebenzisa for umsebenzi lowokundiza, asinginiki ukuthula 😂 😂 😂",0
train_isizulu_02519,AfriHate,@username baba kaunda ngilinyalelwe imoto ngase skhawini ku n2 kuqhamuke inkomo ebusuku emgwaqeni yaphela nya imoto yam,0
train_isizulu_02358,AfriHate,@username yak’nonela ingulube 😂,0
dev_isizulu_00550,AfriHate,from “bhebha uthule” to “bhebhela la ukhona”☹️.. yuh,0
test_isizulu_00663,AfriHate,"@username kunjalo mfene🐵emhlophe ethakatha emini,ezinye zihambahamba ebsuku @username i stil believe in ❤ @username #usomatekisi",0
train_isizulu_00490,AfriHate,ntombazana ufake i heel uwazi angithi? so yekela ukuhamba ngathi inkomo ibuhlungu nyathela i heel. #askies,0
train_isizulu_02547,AfriHate,"kulamahlathi amnyama sekugcwel'abothebula, amabhunu awasangeni.. sebekhulum'epitoli, sebekhulum'emgungundlovu 🎧",0
dev_isizulu_00272,AfriHate,@username yazi 😂😂😂 phinde uzothola ibhunu likhufice ufake idoek yeanc.😢,0
dev_isizulu_00576,AfriHate,yaz ngithe ngiyibuka lendoda ngabo a kuthi yaz makungadilika imfene entabeni nezimali ezishisiwe engasiyeka amantombazane serious. engakhohlwa yithi ##url,0
train_isizulu_00043,AfriHate,@username he's saying uzobhebheka wena yezwa 🤣🤣🤣🚶🚶🙊,0
train_isizulu_01667,AfriHate,"ey yabo ""@username : iyaphilisa imomozi ""@username : lelikhehla le playboy alikakafi?""""",0
train_isizulu_02108,AfriHate,idlaliswa budlabha imomozi kulo twitter...,0
train_isizulu_02723,AfriHate,@username imagine unukelwa amasende enye indoda,0
test_isizulu_00424,AfriHate,@username kunzima ngoba sama sakabuli sithanda ukubukwa uyithenga kanjan ingulube isesakeni #kunzima emnzansi,0
test_isizulu_00166,AfriHate,just saw istabane esu'skhotheni lol 😂,0
train_isizulu_00418,AfriHate,qoma ntombi ngafa inhlamba kanyoko ##url,0
train_isizulu_00138,AfriHate,"""@username : #masigoduke nobonah thusi silalele silana epmb @username #wnb""uthi ngithe hello kwi mfene yakithi",0
dev_isizulu_00402,AfriHate,nxa wenja awungiyeke ##url,0
train_isizulu_00194,AfriHate,lol! bafuna umahosha?? abakhohlwe! #khumbu ##url,0
train_isizulu_02912,AfriHate,ayishuthwe inkomo . ##url,0
train_isizulu_02079,AfriHate,"""usayiphethe kahle inkomo yami?   ebuza ibhunu lakhe le plazi 🐃 ##url",0
train_isizulu_01236,AfriHate,nansi ingulube inginonela. ngizoyikhahlela.,0
train_isizulu_01241,AfriHate,dala ngisho 💁🏾‍♂️ kodwa izinja zithi “wena vele uthanda abelungu” ##url,0
train_isizulu_00358,AfriHate,@username wena akhona kini lana wena sdomu ndini sazobpna kodwa thula ubuke,0
train_isizulu_01028,AfriHate,"isosha lomkhonto wesizwe, wayebulala amabhunu eafrika ✊🏾",0
train_isizulu_01070,AfriHate,"@username yaz umuntu wacishe waduba ikhaya ngokhothipani abadakiwe nje, ey ngoba imomozi!! 😩😩😂😂",0
train_isizulu_00225,AfriHate,ayikulimazi amasende lento ##url ##url,0
train_isizulu_00781,AfriHate,jaiva njenge ngamla saan,0
dev_isizulu_00031,AfriHate,liyayidliva mphephethwa kwayisholo imfene ingene emzini owrong izitshela ukuth umniniyo,0
train_isizulu_03064,AfriHate,ngizoku bhebha #thequeen 😂😂,0
dev_isizulu_00529,AfriHate,@username eh! nayi ingulube inginonela.,0
train_isizulu_00630,AfriHate,@username bazoni bhebha abanye abafana,0
dev_isizulu_00054,AfriHate,@username happy birthday sdudla sangempela,0
train_isizulu_01373,AfriHate,kusile. ayikho inkomo yobuthongo. vukani.,0
train_isizulu_00693,AfriHate,@username obhebhekayo siyam'bhebha klaar,0
train_isizulu_01387,AfriHate,@username yakhumbula nithi imomozi 😭 ##url,0
train_isizulu_00631,AfriHate,"ayikho encane,ayikho enkulu. wena nje iba nendoda eyodwa  ☝️ukuze inkomo🍑 izomazi umelusi 🍆wayo🤞",0
test_isizulu_00550,AfriHate,gatsheni was talking about testicles. ..athi amasende ayenzeni? ??👂👂👂😂😂 #isibaya,0
train_isizulu_01050,AfriHate,@username zamnandi izingoma ngizbhekise kumndeni wakwa thusi o mfene o gcwabaza,0
test_isizulu_00389,AfriHate,laze lavelelwa isende lakho. ##url,0
test_isizulu_00338,AfriHate,"@username yazi laba banesdina it not like we rapist, it how we appreciate imomozi not like sesiyayifuna yebo meyiletha ingadleka but abakahle nje kuba serious, kwamomozi yini lento encane kanje mxm.",0
train_isizulu_01599,AfriHate,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂... sengiphusha mba wenja. ##url,0
train_isizulu_00753,AfriHate,umuthi wokuba iyellowbone lo? ##url,0
train_isizulu_01231,AfriHate,kodwa isende lam lihle maan ❤️ ##url,0
train_isizulu_01867,AfriHate,haibo.  bhebha uthule.  yekan’ ukuhlupha.,0
train_isizulu_01467,AfriHate,kangaroo court ngampela le. u judge zondo uzokwehla isithunzi. ngalo mbhedo we khomishini. owa sungulwa u thuli madonsela. edlala amabhunu. @username . lafa elihle kakhulu. sadlala abelungu ezweni lethu,0
test_isizulu_00612,AfriHate,"kevin 😂 ""@username : #umaungasebenzi you must answer your phone before it rings ngoba vele awenzi lutho uneke amasende""",0
train_isizulu_02491,AfriHate,gaxa isende lento.,0
test_isizulu_00601,AfriHate,ayikhohlwe njenge sdomu eskoleni iman u rt @username ,0
train_isizulu_01523,AfriHate,@username lol ingathi yonk' into enebhunu/mlungu phakathi isenkingeni,0
train_isizulu_00686,AfriHate,"mazulu noyise wakhe. @ midrand, gauteng ##url",0
train_isizulu_00685,AfriHate,"kwesami, emgababa. ngehla ngo- shibedabe sabanika, mfazomyama neyingane zakhe, bhobho mathambe spoki, qoma ntombi ngafa yinhlamba kanyoko,  usoka lentombi ekade ila! ##url",0
train_isizulu_01125,AfriHate,"@username selihambile iqhawe madoda, babumhlongo was a no nonsense trade unionist.i remember when he was working for fawu ages ago babemsabukufa abelungu yazi even during ccma proceedings bekutshela manje okuyibhunu ukuthi uzokwenzani angphathi -ke during wage negotiations.mhsrip",0
train_isizulu_00512,AfriHate,"lmao!""@username : lol hao ""@username : kuzoshwabana amasende ""@username : ngathi kuzobanda ksasa 😢""""",0
train_isizulu_02998,AfriHate,@username ufuna inkomo ezingaphi?,0
dev_isizulu_00112,AfriHate,@username angasdini efika lo mlungu! please!,0
train_isizulu_01385,AfriHate,"nothing but the truth ----&gt;&gt; ""@username : ayikho into eyisibusiso njengobona ididi elikhulu kwi legging""",0
train_isizulu_01075,AfriHate,"uthenga umahosha uze umqabule,akyona intombi yakho le",0
test_isizulu_00506,AfriHate,@username uyinja kabi wena,0
test_isizulu_00196,AfriHate,"izoyekwelani ukudliwa if kudliwa amakokoroshe? ""@username : - so iyadliwa inkawu? #twoogles""",0
train_isizulu_01278,AfriHate,sonke leskhathi bengingazi ukuthi imfene ayinawo umsila. umuntu ufunda aze afe stru,0
