id,source,text,mgt
train_isizulu_02223,mistral:7b,"""@username says: 'Hlonipha is cooking food in the kitchen to prepare her weapons'""",True
train_isizulu_02831,AfriHate,"ingulube iyanginonela, emini kushisa nokwenza",False
test_isizulu_00505,AfriHate,@username 😂😂😂😂😂 uyinja chillbite 🐩,False
2855,vukuzenzele,"“Imifino ayithandwa aba- limi abaningi ngoba isimo sezulu kumele sibe sihle. Kumele singabandi noma singashisi kakhulu,” kusho yena.",False
471,vukuzenzele,"bazivalele ngabodwana noma baqoke ukugwema ezinye izindawo kanye nokuhlangana nabanye abantu. Bangafuna ukuthula nje noma benyuse izinga lomsindo. Bangaphinde futhi babe nolaka ngokwedlulele noma basheshe ukucasuka,” kusho yena.Uma weseka othandi-weyo,",False
1905,vukuzenzele,UMongameli u-Cyril Ramaphosa uthe uMnyango Wezamafa Kuzwelonke uzokwenza ukuthi kube khona imali yemizamo yesibonelelo ezosiza labo abakhahlanyezwe yizikhukhula.,False
3246,vukuzenzele,"ukuthi sonke siqonde ukuthi azisiso isijeziso kodwa zibhekele ukuphepha komphakathi. Enye yezingozi ezinkulu kulesi sikhathi ukungazi nokuba nolwazi olungelona iqiniso. Kumele sipheze ukusabalalisa izindaba ezingelona iqiniso nezingaqinisekisiwe,",False
530,vukuzenzele,eminingi idla inyama yenkukhu kakhulu ukwedlula olunye uhlobo lwenyama.U-Dkt Zulu unamathemba okuqeqesha abesifazane abangaphezu kwe-1 000 kwezolimo kulolonke izwe ngonyaka. Uzimisele futhi ngokuba ngomunye wabakhiqizi abathembekile baseNingizimu Afrika,False
dev_isizulu_00592,AfriHate,babalas isende lakho........ @ rustenburg ##url,False
test_isizulu_00475,AfriHate,"@username syafana, angkwazi ukthenga ingulube isesakeni😹",False
420,llama3.1,"Umlomo owomile noma onamfukayo. Izinyembezi ezincane zingabibikho uma zikhala. Ukuchama kancane amanzi amancane kunokujwayelekile. Isikhumba esomile, esibandayo. Ukuhlala wozela.",True
train_isizulu_01982,AfriHate,ingabe kanti zazizalwe zingowona yini amabhunu 🤣🤣🤣🤣🤣🤣 ##url,False
dev_isizulu_00413,AfriHate,namhlanje kwizwelenala fm ngizophawula ngodaba olubhalwe ngami kwisolezwe langesonto oluthinta ubutabane.20:00 -22:00@username #kingsomnala ##url,False
