id,source,text,mgt
dev_isizulu_00066,mistral:7b,"""thina sizwe esimnyama sikhalela izwe lethu, elathathwa amabhunu...#anthem_national"" #sama24",1
train_isizulu_01453,mistral:7b,@username lmao ngu-yabo udingawe 😂 ku-bab'emnyama. ama-sebenziselo yokuthula.,1
3302,mistral:7b,"ngikutsha kuqala kakhulu, sizocavuma isiqalo, sakwazi kulalela ukuthula okuthunywa, sakhokelekile uhlobo lwabantu bethu ngu-bafuthi, sakhokelekile izinyama zokuzi-vikela ezidingeni.",1
650,mistral:7b,"""Engaphezulu kwezi-129 nafika 600 ku-zwelonke, sizwe zonke abantu babo bakho isifundiso esikhaleni-44 kanye namadolobha ayisishiyagalombili. Izindawo ezingama-358 nguNtshonalanga Kapa nguqokela nemibhede engaphezulu kwezi-27 ngu 500. Izindawo ezingama-395 nguNgempela.""",1
1726,mistral:7b,"Umkhuhlisane, sizabona esigodini sakhe Luheni kuMasipala Wasekhaya iThulame la eLimpopo, uyise Iziqu ze-Urban and Regional Planning eNyuvesi yaseVenda ngowezi-2016.",1
473,mistral:7b,zokuzilaIzigaba zokuzila ezijwayelekile kungaba ukuthi ulahlekelwe noma ukuzivalela ngawedwana (uma ubheka-na nokuba ndikindiki noma ukushaqeka) ukuthukuthe-la (ukuthukuthelela abantu bengenzanga lutho okubi); zibhakabata.,1
320,mistral:7b,"""Ngeke siyabonga sizophinde siwuchithe udoti eMlaza sesizowuchitha edolobheni ngoba izikhalo zethu azizwakali uma udoti siwuchitha eMlaza. Sizoya naseMhlanga uma bengazilaleli izikhalo zethu, sibe nenkinga efanayo ezindaweni ezisenyakatho lapho abasebenzi bethu abathathu balimala besemsebenzini nezimoto zethu zashaywa ngamatshe.""""Kwezinye izindawo kunokuphazamiseka kokuqoqwa kukadoti okwenziwa uphiko lwangaphakathi. EMlaza awuqoqwa udoti ngenxa yesimo esingesihle esidalwa wukuthi abasebenzi bethu bavalelwa emahhovisi eGarden Refuse kwa-V. Enye iloli lethu lashaywa ngamatshe ngoJuni 12. Sibe nenkinga efanayo ezindaweni ezisenyakatho lapho abasebenzi bethu abathathu balimala besemsebenzini nezimoto zethu zashaywa ngamatshe,"" i-Nsele.""Uthe ngokulekelelwa amaphoyisa akwaSAPS nawakwaMetro bazoqala ukuthutha udoti eMlaza wathi bacela imiphakathi ibambisane nabo. Okhulumela amaphoyisa akwaMetro, uSenior Superintendent Parboo Sewpersad, uthe kube nokuphazamiseka kokuhamba kwezimoto ngemuva kokuthi kusaphazwe udoti emgwaqweni kodwa bekunezinhlelo zokuthi kube khona abazowuqoqa.""",1
train_isizulu_00690,mistral:7b,ngoba siyakwazi sikhuluma isilulo.,1
2704,mistral:7b,"""Izilungiselelo sikhalo sikhululekile kubhekana ngciwane-corona, sikukhumbula ngesifundazwe esikhaleni eMpumalanga.""",1
2125,mistral:7b,"""Ngaphezu kwezichibiyelo, u-NSFAS usungule izinkundla ezengeziwe ezinqoleni abanemvelaphi eyahlukahlukene, kanye nokukhumbula ukuthi iningi labafakizicelo yintsha ethanda ukwenza izinto zaseZikhathini.""",1
2755,mistral:7b,"Ngeneminyaka 18 ngaphakathi kwe-34, uyabangasela ngu-phakathi sezinyanga esithupha.",1
2765,mistral:7b,"Abasebenziswako zokuthola kuzenzo kule nekhosombane lezihlalo zabakhubaze, okwenza kube lula ukuthi abagibeli abakhu bazekile bangene ezinhlanzeni.",1
train_isizulu_02587,mistral:7b,@username ngikuvele ngikube ngathi inkawu ke lapho amashiyeni awabona-e,1
2952,mistral:7b,"Ngikholwa-ke, umsindo wemihlaba ngokuba abantu ababal' umbutho wesigamu sabantwana abanomdla eNingizimu Afrika abahlonzwa nhlobo.",1
test_isizulu_00374,mistral:7b,"""ngiyabonga kakhulu, siyandiswa sokhetheko"" #url",1
375,mistral:7b,"Ngikholwa ngawe ngabafundi abangasifakanga isicelo, ngokuba nguqala ukuthola imiphumela edingekayo kuBanga.",1
984,mistral:7b,"""Ngikuphendula ukuthumela yokuthula kwabantu ababika ngalolu dlame, okwenze-lwa ukuthumela othusayo kwabezindaba ezi-Gaza. Ukuqhunyiswa kwama-bhomu yi-Israeli okungenazwelo futhi okuqhubekayo kuzoba nemiphumela emibi kubantu abangaphezu kwezigidi ezimbili abebekhahlanyezwe ukuvinjwa.""",1
train_isizulu_01831,mistral:7b,"""Ngikodwa abantu beseZN alisembele isizwe seMnyama, uBheki cel'ekhaya ngeke enze lutho namaphoyisa ngoba iqondweni nomuntu seMnyama #eZanamuhla @username""",1
train_isizulu_00323,mistral:7b,ngikuthanda kuMomozi akukho istranded ###url,1
802,mistral:7b,"Ngikuthanda kwenzulo zabo ziyasebenzisa nje, ""Uphenyo mayelana nembangela yokuqubuka kwalo mlilo luyaqhubeka njenga-manje."" Ngiyazithoba ukuthi siqinisekiswa ukuthi kuyaphenyisiswa futhi kuphothulwe ngaphandle kokubambezeleka. Ngikuthanda kwenzulo zabo ziyasebenzisa nje, ""Ngingakho ke kuyaphenyisiswa, ngikuthanda kuphothulwe.""",1
train_isizulu_02930,mistral:7b,"Ngikholwa ku-amantombazane aye emakhaya, sikhona ukudla, siphekile, siyacleaniswa, sikhona imbiya, siyathukisana for being unmarried all by men who are not married yet?",1
